headers
SUSAN 88984.10683349374 F
MARK 88321.65709359606 M
JOHN 87016.39339189188 M
THOMAS 86514.55807527395 M
PAUL 86277.34199497066 M
PETER 86218.84470989762 M
TIMOTHY 85884.68292903225 M
STEPHEN 85840.72204472843 M
EDWARD 85666.41632231405 M
ROBERT 85573.3199456337 M
JAMES 85096.20029468044 M
FRANK 84750.46248618784 M
RICHARD 84546.38839189995 M
JEFFREY 84174.40074906367 M
WILLIAM 84129.55620671283 M
BRIAN 83939.19326241135 M
PATRICK 83633.17580144778 M
LAURA 83526.25908726179 F
KAREN 83393.2897678418 F
MICHAEL 83298.73502231036 M
LISA 83210.70342857143 F
KENNETH 83203.97898640297 M
JOSEPH 82955.73911560519 M
STEVEN 82751.20218579235 M
DEBORAH 82718.52357320099 F
DAVID 82312.32161939991 M
NANCY 82290.78438256659 F
CHARLES 82282.93127962085 M
BARBARA 82246.66229116946 F
VINCENT 82129.34105534105 M
GEORGE 82029.35459183673 M
MARY 81646.89618456078 F
CHRISTINE 81621.28093947606 F
LAUREN 81090.6683831102 F
ERIC 80767.15262172285 M
DANIEL 80503.95616740089 M
ANDREW 80187.86762878788 M
JENNIFER 80132.88791343405 F
GREGORY 79963.11210191083 M
JACQUELINE 79905.518129771 F
SEAN 79797.91688227684 M
KEVIN 79416.33943903835 M
MATTHEW 79286.55930376194 M
DONNA 79201.42702702702 F
ELIZABETH 78830.17108265425 F
ANDREA 78825.42098609355 F
PATRICIA 78743.01900584795 F
JASON 77784.75830997528 M
SARAH 77716.04663923182 F
SHARON 77150.07642458101 F
MICHELLE 77072.68260762608 F
CHRISTOPHER 77054.5381425486 M
LINDA 77005.18202247191 F
DANIELLE 76679.20187793428 F
ANTHONY 76664.33239095315 M
CYNTHIA 76534.62279511533 F
MELISSA 76397.74851190476 F
CARLOS 76196.10987482614 M
DENISE 76097.41590214067 F
KIMBERLY 75624.9290302267 F
SANDRA 75117.6031927024 F
DIANA 75048.2371007371 F
NICOLE 74769.83491071429 F
JESSICA 74439.62584490741 F
ANGELA 74372.03777335984 F
CHRISTINA 73907.48725212464 F
NICHOLAS 73865.41113508443 M
MARIA 73653.53182088285 F
JOSE 73628.41027732463 M
JONATHAN 73034.89805429864 M
LUIS 71600.11488250653 M
STEPHANIE 70997.14862914864 F
RYAN 70423.64078762307 M
AMANDA 69808.86717827627 F
SAMANTHA 68624.42126514133 F
